x 	 y 	 b 	 n 	 func
 0.200000 	 0.563636 	 0.400000 	 1.000000 	 -0.253959
 0.200000 	 0.563636 	 0.400000 	 7.000000 	 -0.246548
 0.200000 	 0.563636 	 0.400000 	 19.000000 	 -0.246547
 0.200000 	 0.563636 	 0.500000 	 1.000000 	 -0.141062
 0.200000 	 0.563636 	 0.500000 	 7.000000 	 -0.170643
 0.200000 	 0.563636 	 0.500000 	 19.000000 	 -0.170635
 0.200000 	 0.563636 	 0.600000 	 1.000000 	 0.084558
 0.200000 	 0.563636 	 0.600000 	 7.000000 	 0.120635
 0.200000 	 0.563636 	 0.600000 	 19.000000 	 0.120749
 0.200000 	 0.563636 	 0.700000 	 1.000000 	 0.298114
 0.200000 	 0.563636 	 0.700000 	 7.000000 	 0.380292
 0.200000 	 0.563636 	 0.700000 	 19.000000 	 0.380055
 0.200000 	 0.563636 	 0.800000 	 1.000000 	 0.464729
 0.200000 	 0.563636 	 0.800000 	 7.000000 	 0.482988
 0.200000 	 0.563636 	 0.800000 	 19.000000 	 0.483766
 0.200000 	 0.563636 	 0.900000 	 1.000000 	 0.584269
 0.200000 	 0.563636 	 0.900000 	 7.000000 	 0.519409
 0.200000 	 0.563636 	 0.900000 	 19.000000 	 0.517483
 0.200000 	 0.563636 	 1.000000 	 1.000000 	 0.665729
 0.200000 	 0.563636 	 1.000000 	 7.000000 	 0.533223
 0.200000 	 0.563636 	 1.000000 	 19.000000 	 0.532730
 0.200000 	 0.563636 	 1.100000 	 1.000000 	 0.718641
 0.200000 	 0.563636 	 1.100000 	 7.000000 	 0.540078
 0.200000 	 0.563636 	 1.100000 	 19.000000 	 0.545418
 0.200000 	 0.654545 	 0.100000 	 1.000000 	 0.002354
 0.200000 	 0.654545 	 0.100000 	 7.000000 	 0.002353
 0.200000 	 0.654545 	 0.100000 	 19.000000 	 0.002353
 0.200000 	 0.654545 	 0.200000 	 1.000000 	 -0.041583
 0.200000 	 0.654545 	 0.200000 	 7.000000 	 -0.041638
 0.200000 	 0.654545 	 0.200000 	 19.000000 	 -0.041638
 0.200000 	 0.654545 	 0.300000 	 1.000000 	 0.084769
 0.200000 	 0.654545 	 0.300000 	 7.000000 	 0.087132
 0.200000 	 0.654545 	 0.300000 	 19.000000 	 0.087132
 0.200000 	 0.654545 	 0.400000 	 1.000000 	 -0.240762
 0.200000 	 0.654545 	 0.400000 	 7.000000 	 -0.237293
 0.200000 	 0.654545 	 0.400000 	 19.000000 	 -0.237293
 0.200000 	 0.654545 	 0.500000 	 1.000000 	 -0.299131
 0.200000 	 0.654545 	 0.500000 	 7.000000 	 -0.303521
 0.200000 	 0.654545 	 0.500000 	 19.000000 	 -0.303530
 0.200000 	 0.654545 	 0.600000 	 1.000000 	 -0.125880
 0.200000 	 0.654545 	 0.600000 	 7.000000 	 -0.174928
 0.200000 	 0.654545 	 0.600000 	 19.000000 	 -0.174982
 0.200000 	 0.654545 	 0.700000 	 1.000000 	 0.105124
 0.200000 	 0.654545 	 0.700000 	 7.000000 	 0.169191
 0.200000 	 0.654545 	 0.700000 	 19.000000 	 0.169628
 0.200000 	 0.654545 	 0.800000 	 1.000000 	 0.313852
 0.200000 	 0.654545 	 0.800000 	 7.000000 	 0.436428
 0.200000 	 0.654545 	 0.800000 	 19.000000 	 0.435491
 0.200000 	 0.654545 	 0.900000 	 1.000000 	 0.478733
 0.200000 	 0.654545 	 0.900000 	 7.000000 	 0.525493
 0.200000 	 0.654545 	 0.900000 	 19.000000 	 0.527719
 0.200000 	 0.654545 	 1.000000 	 1.000000 	 0.600758
 0.200000 	 0.654545 	 1.000000 	 7.000000 	 0.552284
 0.200000 	 0.654545 	 1.000000 	 19.000000 	 0.550342
 0.200000 	 0.654545 	 1.100000 	 1.000000 	 0.687366
 0.200000 	 0.654545 	 1.100000 	 7.000000 	 0.561256
 0.200000 	 0.654545 	 1.100000 	 19.000000 	 0.556417
