x 	 y 	 b 	 n 	 func
 0.200000 	 0.110000 	 1.880000 	 7.000000 	 0.303095
 0.200000 	 0.110000 	 1.880000 	 19.000000 	 0.313739
 0.200000 	 0.110000 	 1.935000 	 1.000000 	 0.163471
 0.200000 	 0.110000 	 1.935000 	 7.000000 	 0.302161
 0.200000 	 0.110000 	 1.935000 	 19.000000 	 0.314110
 0.200000 	 0.110000 	 1.990000 	 1.000000 	 0.160432
 0.200000 	 0.110000 	 1.990000 	 7.000000 	 0.301144
 0.200000 	 0.110000 	 1.990000 	 19.000000 	 0.314451
 0.200000 	 0.110000 	 2.045000 	 1.000000 	 0.157491
 0.200000 	 0.110000 	 2.045000 	 7.000000 	 0.300051
 0.200000 	 0.110000 	 2.045000 	 19.000000 	 0.314765
 0.200000 	 0.160000 	 1.000000 	 1.000000 	 0.327235
 0.200000 	 0.160000 	 1.000000 	 7.000000 	 0.397194
 0.200000 	 0.160000 	 1.000000 	 19.000000 	 0.396643
 0.200000 	 0.160000 	 1.055000 	 1.000000 	 0.321900
 0.200000 	 0.160000 	 1.055000 	 7.000000 	 0.400668
 0.200000 	 0.160000 	 1.055000 	 19.000000 	 0.399927
 0.200000 	 0.160000 	 1.110000 	 1.000000 	 0.316284
 0.200000 	 0.160000 	 1.110000 	 7.000000 	 0.403673
 0.200000 	 0.160000 	 1.110000 	 19.000000 	 0.402746
 0.200000 	 0.160000 	 1.165000 	 1.000000 	 0.310504
 0.200000 	 0.160000 	 1.165000 	 7.000000 	 0.406276
 0.200000 	 0.160000 	 1.165000 	 19.000000 	 0.405183
 0.200000 	 0.160000 	 1.220000 	 1.000000 	 0.304645
 0.200000 	 0.160000 	 1.220000 	 7.000000 	 0.408523
 0.200000 	 0.160000 	 1.220000 	 19.000000 	 0.407303
 0.200000 	 0.160000 	 1.275000 	 1.000000 	 0.298773
 0.200000 	 0.160000 	 1.275000 	 7.000000 	 0.410453
 0.200000 	 0.160000 	 1.275000 	 19.000000 	 0.409159
 0.200000 	 0.160000 	 1.330000 	 1.000000 	 0.292934
 0.200000 	 0.160000 	 1.330000 	 7.000000 	 0.412091
 0.200000 	 0.160000 	 1.330000 	 19.000000 	 0.410791
 0.200000 	 0.160000 	 1.385000 	 1.000000 	 0.287165
