x 	 y 	 b 	 n 	 func
 0.200000 	 0.563636 	 1.900000 	 1.000000 	 0.734332
 0.200000 	 0.563636 	 1.900000 	 7.000000 	 0.680940
 0.200000 	 0.563636 	 1.900000 	 19.000000 	 0.710674
 0.200000 	 0.563636 	 2.000000 	 1.000000 	 0.719934
 0.200000 	 0.563636 	 2.000000 	 7.000000 	 0.685420
 0.200000 	 0.563636 	 2.000000 	 19.000000 	 0.737468
 0.200000 	 0.654545 	 1.000000 	 1.000000 	 0.600758
 0.200000 	 0.654545 	 1.000000 	 7.000000 	 0.552284
 0.200000 	 0.654545 	 1.000000 	 19.000000 	 0.550342
 0.200000 	 0.654545 	 1.100000 	 1.000000 	 0.687366
 0.200000 	 0.654545 	 1.100000 	 7.000000 	 0.561256
 0.200000 	 0.654545 	 1.100000 	 19.000000 	 0.556417
 0.200000 	 0.654545 	 1.200000 	 1.000000 	 0.746571
 0.200000 	 0.654545 	 1.200000 	 7.000000 	 0.558382
 0.200000 	 0.654545 	 1.200000 	 19.000000 	 0.561400
 0.200000 	 0.654545 	 1.300000 	 1.000000 	 0.785199
 0.200000 	 0.654545 	 1.300000 	 7.000000 	 0.557037
 0.200000 	 0.654545 	 1.300000 	 19.000000 	 0.568857
 0.200000 	 0.654545 	 1.400000 	 1.000000 	 0.808604
 0.200000 	 0.654545 	 1.400000 	 7.000000 	 0.568970
 0.200000 	 0.654545 	 1.400000 	 19.000000 	 0.579457
 0.200000 	 0.654545 	 1.500000 	 1.000000 	 0.820835
 0.200000 	 0.654545 	 1.500000 	 7.000000 	 0.594904
 0.200000 	 0.654545 	 1.500000 	 19.000000 	 0.592726
 0.200000 	 0.654545 	 1.600000 	 1.000000 	 0.824907
 0.200000 	 0.654545 	 1.600000 	 7.000000 	 0.627496
 0.200000 	 0.654545 	 1.600000 	 19.000000 	 0.607896
 0.200000 	 0.654545 	 1.700000 	 1.000000 	 0.823051
 0.200000 	 0.654545 	 1.700000 	 7.000000 	 0.657962
 0.200000 	 0.654545 	 1.700000 	 19.000000 	 0.625209
 0.200000 	 0.654545 	 1.800000 	 1.000000 	 0.816918
 0.200000 	 0.654545 	 1.800000 	 7.000000 	 0.680326
 0.200000 	 0.654545 	 1.800000 	 19.000000 	 0.644624
 0.200000 	 0.654545 	 1.900000 	 1.000000 	 0.807728
 0.200000 	 0.654545 	 1.900000 	 7.000000 	 0.692544
 0.200000 	 0.654545 	 1.900000 	 19.000000 	 0.664929
 0.200000 	 0.654545 	 2.000000 	 1.000000 	 0.796385
 0.200000 	 0.654545 	 2.000000 	 7.000000 	 0.695767
